track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
39thEa6HEXyCIkvPPsnBhg;0.73;0.374;0.43;0.0;3;0.712;-10.178;0;0.131;71.105;1;0.865
1AZXNAVDD9ZFIEKySgflFz;0.56;0.706;0.685;0.0;11;0.22;-3.669;1;0.0837;117.448;4;0.444
4PaSdnJpt8U8GYZyHjuVGl;0.00676;0.401;0.865;0.337;7;0.0964;-7.75;1;0.0548;173.968;4;0.0575
0zWXNQFSheWfhJ9p8aYM34;0.842;0.612;0.199;0.0509;7;0.0946;-16.578;1;0.0309;110.862;3;0.143
5Sz6igeKUrd8wy4MDJDMtX;0.764;0.479;0.0493;5.08e-06;5;0.17;-39.716;1;0.742;112.969;5;0.602
4hWiGcVpTP41LvxGXOTrty;5.99e-05;0.232;0.893;0.512;0;0.291;-5.954;0;0.0533;163.002;4;0.553
7s99veKqOtfbLe2ADEVq80;0.744;0.68;0.498;0.00397;1;0.079;-13.879;1;0.0474;115.904;4;0.402
2t2zSh28BCbfFp2iE2ox9s;0.895;0.609;0.519;0.0517;6;0.144;-8.729;0;0.0469;135.645;3;0.523
0cmWIdwWZCggEx5ybkypnG;0.0103;0.897;0.555;5.41e-06;1;0.0857;-5.6;0;0.147;94.056;4;0.818
3lUVy400HL94NB03paDTyN;0.0572;0.679;0.842;0.0;0;0.15;-7.28;1;0.0416;137.589;4;0.767
7GnsF8ycXY7Xh89DuQX7R6;0.99;0.572;0.313;0.953;10;0.166;-16.869;0;0.0842;141.892;4;0.828
2Es5jyiB3GK0wQyd49wdkC;0.00133;0.185;0.69;3.56e-06;5;0.0737;-5.097;1;0.0365;193.658;4;0.777
6igZOs0wig9tDNl91lxBcQ;0.0469;0.689;0.876;0.0;6;0.222;-4.162;1;0.0722;89.669;4;0.8
4B7S3ocF32OsFahJFI86FF;0.0029;0.507;0.992;0.909;3;0.06;-6.097;0;0.114;117.03;4;0.208
2YPWS5V2TdlNE8tn2FgAxW;0.257;0.637;0.528;1.62e-05;1;0.111;-5.953;0;0.025;89.755;4;0.289
77CElbVQVRJ3PfHTuMahsO;0.0281;0.851;0.476;3.02e-05;7;0.0616;-7.507;1;0.0818;81.966;4;0.65
